,Aerage,,,,,,
-33.12,1674.08,,,,,,
-33.1,1801.28,,,,,,
-33.08,1758.48,,,,,,
-33.06,1720.76,,,,,,
-33.04,1738.8,,,,,,
-33.02,1862.12,,,,,,
-33,1841.32,,,,,,
-32.98,1697.76,,,,,,
-32.96,1694.08,,,,,,
-32.94,1816.36,,,,,,
-32.92,1745.04,,,,,,
-32.9,1727.64,,,,,,
-32.88,1801.68,,,,,,
-32.86,1798.76,,,,,,
-32.84,1754.16,,,,,,
-32.82,1711.92,,,,,,
-32.8,1700.88,,,,,,
-32.78,1773.28,,,,,,
-32.76,1700.32,,,,,,
-32.74,1747.4,,,,,,
-32.72,1678.32,,,,,,
-32.7,1746.36,,,,,,
-32.68,1748.6,,,,,,
-32.66,1751,,,,,,
-32.64,1829.96,,,,,,
-32.62,1904.84,,,,,,
-32.6,1793.48,,,,,,
-32.58,1780.8,,,,,,
-32.56,1812.16,,,,,,
-32.54,1831.24,,,,,,
-32.52,1791.32,,,,,,
-32.5,1743.12,,,,,,
-32.48,1801.36,,,,,,
-32.46,1822.24,,,,,,
-32.44,1811.12,,,,,,
-32.42,1741.32,,,,,,
-32.4,1621.4,,,,,,
-32.38,1809.68,,,,,,
-32.36,1816.08,,,,,,
-32.34,1700.8,,,,,,
-32.32,1705.2,,,,,,
-32.3,1839.84,,,,,,
-32.28,1743.56,,,,,,
-32.26,1752.68,,,,,,
-32.24,1767.64,,,,,,
-32.22,1811.96,,,,,,
-32.2,1731.52,,,,,,
-32.18,1784.04,,,,,,
-32.16,1827.56,,,,,,
-32.14,1779.76,,,,,,
-32.12,1735.32,,,,,,
-32.1,1762.96,,,,,,
-32.08,1850.12,,,,,,
-32.06,1872.96,,,,,,
-32.04,1790.68,,,,,,
-32.02,1805.16,,,,,,
-32,1766.56,,,,,,
-31.98,1831.6,,,,,,
-31.96,1740.72,,,,,,
-31.94,1773.24,,,,,,
-31.92,1780.56,,,,,,
-31.9,1838.28,,,,,,
-31.88,1746.16,,,,,,
-31.86,1694.56,,,,,,
-31.84,1724.32,,,,,,
-31.82,1833.24,,,,,,
-31.8,1829.12,,,,,,
-31.78,1784,,,,,,
-31.76,1745.2,,,,,,
-31.74,1802.16,,,,,,
-31.72,1759.16,,,,,,
-31.7,1720,,,,,,
-31.68,1763.24,,,,,,
-31.66,1876.96,,,,,,
-31.64,1820.56,,,,,,
-31.62,1764.16,,,,,,
-31.6,1847.96,,,,,,
-31.58,1818.32,,,,,,
-31.56,1812.32,,,,,,
-31.54,1847.56,,,,,,
-31.52,1732.64,,,,,,
-31.5,1753.64,,,,,,
-31.48,1663.2,,,,,,
-31.46,1620.76,,,,,,
-31.44,1746.24,,,,,,
-31.42,1767.84,,,,,,
-31.4,1708.32,,,,,,
-31.38,1781.64,,,,,,
-31.36,1777.96,,,,,,
-31.34,1796.8,,,,,,
-31.32,1760.92,,,,,,
-31.3,1612.72,,,,,,
-31.28,1769.68,,,,,,
-31.26,1741.16,,,,,,
-31.24,1747.28,,,,,,
-31.22,1604.52,,,,,,
-31.2,1611.76,,,,,,
-31.18,1720.6,,,,,,
-31.16,1678.88,,,,,,
-31.14,1844.16,,,,,,
-31.12,1792.36,,,,,,
-31.1,1736.12,,,,,,
-31.08,1767,,,,,,
-31.06,1709.92,,,,,,
-31.04,1802.16,,,,,,
-31.02,1860.6,,,,,,
-31,1720.68,,,,,,
-30.98,1691.84,,,,,,
-30.96,1706.84,,,,,,
-30.94,1710.88,,,,,,
-30.92,1662.72,,,,,,
-30.9,1682.92,,,,,,
-30.88,1768.52,,,,,,
-30.86,1879.92,,,,,,
-30.84,1776.6,,,,,,
-30.82,1737.24,,,,,,
-30.8,1726.92,,,,,,
-30.78,1795.04,,,,,,
-30.76,1816.64,,,,,,
-30.74,1719.28,,,,,,
-30.72,1756.04,,,,,,
-30.7,1735.16,,,,,,
-30.68,1856.72,,,,,,
-30.66,1763.2,,,,,,
-30.64,1750.08,,,,,,
-30.62,1799.32,,,,,,
-30.6,1804.96,,,,,,
-30.58,1746.12,,,,,,
-30.56,1830.32,,,,,,
-30.54,1804.28,,,,,,
-30.52,1776.8,,,,,,
-30.5,1699.96,,,,,,
-30.48,1883.92,,,,,,
-30.46,1877.96,,,,,,
-30.44,1816.32,,,,,,
-30.42,1778.76,,,,,,
-30.4,1825.16,,,,,,
-30.38,1830.2,,,,,,
-30.36,1840.88,,,,,,
-30.34,1760.8,,,,,,
-30.32,1800.4,,,,,,
-30.3,1844.56,,,,,,
-30.28,1774.72,,,,,,
-30.26,1768.32,,,,,,
-30.24,1829.12,,,,,,
-30.22,1795.28,,,,,,
-30.2,1721.2,,,,,,
-30.18,1593.32,,,,,,
-30.16,1761.32,,,,,,
-30.14,1731.04,,,,,,
-30.12,1649.8,,,,,,
-30.1,1687.44,,,,,,
-30.08,1700.48,,,,,,
-30.06,1820.72,,,,,,
-30.04,1724.72,,,,,,
-30.02,1676.52,,,,,,
-30,1762.52,,,,,,
-29.98,1621.44,,,,,,
-29.96,1680.56,,,,,,
-29.94,1629.24,,,,,,
-29.92,1582.44,,,,,,
-29.9,1727.84,,,,,,
-29.88,1514.84,,,,,,
-29.86,1699.32,,,,,,
-29.84,1674.08,,,,,,
-29.82,1653.56,,,,,,
-29.8,1693.44,,,,,,
-29.78,1620.84,,,,,,
-29.76,1758.6,,,,,,
-29.74,1726.64,,,,,,
-29.72,1689.56,,,,,,
-29.7,1658.72,,,,,,
-29.68,1742.52,,,,,,
-29.66,1759,,,,,,
-29.64,1739.88,,,,,,
-29.62,1726.04,,,,,,
-29.6,1742.12,,,,,,
-29.58,1814.08,,,,,,
-29.56,1811.36,,,,,,
-29.54,1783.16,,,,,,
-29.52,1846.88,,,,,,
-29.5,1753.68,,,,,,
-29.48,1837.44,,,,,,
-29.46,1743.36,,,,,,
-29.44,1651.36,,,,,,
-29.42,1672.12,,,,,,
-29.4,1740.96,,,,,,
-29.38,1750.88,,,,,,
-29.36,1696.48,,,,,,
-29.34,1743.16,,,,,,
-29.32,1764.6,,,,,,
-29.3,1678.88,,,,,,
-29.28,1765.36,,,,,,
-29.26,1765.84,,,,,,
-29.24,1721.2,,,,,,
-29.22,1623.32,,,,,,
-29.2,1796.64,,,,,,
-29.18,1757.16,,,,,,
-29.16,1745.96,,,,,,
-29.14,1684,,,,,,
-29.12,1735.68,,,,,,
-29.1,1733.2,,,,,,
-29.08,1812.92,,,,,,
-29.06,1826.88,,,,,,
-29.04,1727.12,,,,,,
-29.02,1807.08,,,,,,
-29,1730.32,,,,,,
-28.98,1767.68,,,,,,
-28.96,1759.84,,,,,,
-28.94,1690.2,,,,,,
-28.92,1712.04,,,,,,
-28.9,1674.4,,,,,,
-28.88,1724.68,,,,,,
-28.86,1737.76,,,,,,
-28.84,1755.84,,,,,,
-28.82,1713,,,,,,
-28.8,1843.16,,,,,,
-28.78,1808.68,,,,,,
-28.76,1773.64,,,,,,
-28.74,1771.88,,,,,,
-28.72,1849.68,,,,,,
-28.7,1805.24,,,,,,
-28.68,1868.44,,,,,,
-28.66,1838.24,,,,,,
-28.64,1849.8,,,,,,
-28.62,1788.44,,,,,,
-28.6,1703.32,,,,,,
-28.58,1686.08,,,,,,
-28.56,1721.76,,,,,,
-28.54,1847.92,,,,,,
-28.52,1716.24,,,,,,
-28.5,1789.08,,,,,,
-28.48,1731.56,,,,,,
-28.46,1776.48,,,,,,
-28.44,1672.04,,,,,,
-28.42,1601.12,,,,,,
-28.4,1799.44,,,,,,
-28.38,1661.84,,,,,,
-28.36,1735.6,,,,,,
-28.34,1711.48,,,,,,
-28.32,1764.68,,,,,,
-28.3,1727.84,,,,,,
-28.28,1707.72,,,,,,
-28.26,1634.84,,,,,,
-28.24,1839,,,,,,
-28.22,1758.04,,,,,,
-28.2,1729.04,,,,,,
-28.18,1752.52,,,,,,
-28.16,1814.8,,,,,,
-28.14,1761.16,,,,,,
-28.12,1698.4,,,,,,
-28.1,1677.36,,,,,,
-28.08,1875.52,,,,,,
-28.06,1917.8,,,,,,
-28.04,1810,,,,,,
-28.02,1774.04,,,,,,
-28,1886.84,,,,,,
-27.98,1806.24,,,,,,
-27.96,1816.6,,,,,,
-27.94,1742.16,,,,,,
-27.92,1781.12,,,,,,
-27.9,1765.44,,,,,,
-27.88,1796,,,,,,
-27.86,1709.84,,,,,,
-27.84,1730.32,,,,,,
-27.82,1874.72,,,,,,
-27.8,1822.64,,,,,,
-27.78,1777.6,,,,,,
-27.76,1769.8,,,,,,
-27.74,1666.6,,,,,,
-27.72,1705.68,,,,,,
-27.7,1658.88,,,,,,
-27.68,1767.44,,,,,,
-27.66,1650.4,,,,,,
-27.64,1749.72,,,,,,
-27.62,1681.36,,,,,,
-27.6,1760.92,,,,,,
-27.58,1705.84,,,,,,
-27.56,1751.28,,,,,,
-27.54,1652.72,,,,,,
-27.52,1684.88,,,,,,
-27.5,1730.64,,,,,,
-27.48,1703.6,,,,,,
-27.46,1722.36,,,,,,
-27.44,1815.28,,,,,,
-27.42,1723.72,,,,,,
-27.4,1719.16,,,,,,
-27.38,1636.76,,,,,,
-27.36,1729.76,,,,,,
-27.34,1806.88,,,,,,
-27.32,1726,,,,,,
-27.3,1709.76,,,,,,
-27.28,1657.04,,,,,,
-27.26,1616.12,,,,,,
-27.24,1691.08,,,,,,
-27.22,1623.68,,,,,,
-27.2,1633.76,,,,,,
-27.18,1727.48,,,,,,
-27.16,1670.16,,,,,,
-27.14,1654.6,,,,,,
-27.12,1767.52,,,,,,
-27.1,1779.12,,,,,,
-27.08,1677.68,,,,,,
-27.06,1649.84,,,,,,
-27.04,1758.52,,,,,,
-27.02,1812.24,,,,,,
-27,1776.8,,,,,,
-26.98,1747.8,,,,,,
-26.96,1806.2,,,,,,
-26.94,1714.12,,,,,,
-26.92,1631.64,,,,,,
-26.9,1580.48,,,,,,
-26.88,1703.44,,,,,,
-26.86,1714.52,,,,,,
-26.84,1649,,,,,,
-26.82,1658.28,,,,,,
-26.8,1782.28,,,,,,
-26.78,1673.88,,,,,,
-26.76,1679.08,,,,,,
-26.74,1594.88,,,,,,
-26.72,1699.36,,,,,,
-26.7,1767.88,,,,,,
-26.68,1709.76,,,,,,
-26.66,1643.08,,,,,,
-26.64,1724.32,,,,,,
-26.62,1672.36,,,,,,
-26.6,1690.12,,,,,,
-26.58,1685.48,,,,,,
-26.56,1786.92,,,,,,
-26.54,1697.72,,,,,,
-26.52,1734.88,,,,,,
-26.5,1772.4,,,,,,
-26.48,1813.76,,,,,,
-26.46,1756.32,,,,,,
-26.44,1839.48,,,,,,
-26.42,1784.76,,,,,,
-26.4,1784.4,,,,,,
-26.38,1693.84,,,,,,
-26.36,1775,,,,,,
-26.34,1776.8,,,,,,
-26.32,1772.4,,,,,,
-26.3,1709.2,,,,,,
-26.28,1713.48,,,,,,
-26.26,1722.12,,,,,,
-26.24,1815.44,,,,,,
-26.22,1811.6,,,,,,
-26.2,1749.8,,,,,,
-26.18,1765.16,,,,,,
-26.16,1756.36,,,,,,
-26.14,1938.32,,,,,,
-26.12,1753.92,,,,,,
-26.1,1745.2,,,,,,
-26.08,1817.16,,,,,,
-26.06,1723.52,,,,,,
-26.04,1756.16,,,,,,
-26.02,1752.56,,,,,,
-26,1794.52,,,,,,
-25.98,1771,,,,,,
-25.96,1699.56,,,,,,
-25.94,1761.32,,,,,,
-25.92,1734.12,,,,,,
-25.9,1771.72,,,,,,
-25.88,1706.2,,,,,,
-25.86,1802.44,,,,,,
-25.84,1904.2,,,,,,
-25.82,1881.2,,,,,,
-25.8,1891.96,,,,,,
-25.78,1798.04,,,,,,
-25.76,1769.32,,,,,,
-25.74,1828.68,,,,,,
-25.72,1807.12,,,,,,
-25.7,1746.32,,,,,,
-25.68,1654.72,,,,,,
-25.66,1833.4,,,,,,
-25.64,1851.2,,,,,,
-25.62,1898.88,,,,,,
-25.6,1879.12,,,,,,
-25.58,1881.76,,,,,,
-25.56,1867.16,,,,,,
-25.54,1834,,,,,,
-25.52,1795.48,,,,,,
-25.5,1849.52,,,,,,
-25.48,1779,,,,,,
-25.46,1759.16,,,,,,
-25.44,1879.36,,,,,,
-25.42,1813.92,,,,,,
-25.4,1862.84,,,,,,
-25.38,1812.52,,,,,,
-25.36,1736.08,,,,,,
-25.34,1804.84,,,,,,
-25.32,1762.48,,,,,,
-25.3,1809.84,,,,,,
-25.28,1779.36,,,,,,
-25.26,1875.2,,,,,,
-25.24,1826.52,,,,,,
-25.22,1757.16,,,,,,
-25.2,1817.96,,,,,,
-25.18,1754.2,,,,,,
-25.16,1781.2,,,,,,
-25.14,1724.64,,,,,,
-25.12,1812.4,,,,,,
-25.1,1755.08,,,,,,
-25.08,1724.16,,,,,,
-25.06,1724.96,,,,,,
-25.04,1848.32,,,,,,
-25.02,1690.84,,,,,,
-25,1714.12,,,,,,
-24.98,1726.64,,,,,,
-24.96,1756.08,,,,,,
-24.94,1695.44,,,,,,
-24.92,1757.52,,,,,,
-24.9,1649.08,,,,,,
-24.88,1744.2,,,,,,
-24.86,1745.08,,,,,,
-24.84,1636.28,,,,,,
-24.82,1597.76,,,,,,
-24.8,1757.64,,,,,,
-24.78,1641.44,,,,,,
-24.76,1761.24,,,,,,
-24.74,1679.72,,,,,,
-24.72,1822.28,,,,,,
-24.7,1674.64,,,,,,
-24.68,1738,,,,,,
-24.66,1767.04,,,,,,
-24.64,1694.48,,,,,,
-24.62,1648.64,,,,,,
-24.6,1694.88,,,,,,
-24.58,1738.68,,,,,,
-24.56,1759.08,,,,,,
-24.54,1732.36,,,,,,
-24.52,1654.28,,,,,,
-24.5,1689.84,,,,,,
-24.48,1770.4,,,,,,
-24.46,1755.32,,,,,,
-24.44,1693.64,,,,,,
-24.42,1708.72,,,,,,
-24.4,1840.32,,,,,,
-24.38,1692.2,,,,,,
-24.36,1627.2,,,,,,
-24.34,1758.76,,,,,,
-24.32,1774.68,,,,,,
-24.3,1772.64,,,,,,
-24.28,1759.04,,,,,,
-24.26,1697.08,,,,,,
-24.24,1772.36,,,,,,
-24.22,1758.64,,,,,,
-24.2,1730.28,,,,,,
-24.18,1820.28,,,,,,
-24.16,1781.56,,,,,,
-24.14,1767.6,,,,,,
-24.12,1675.12,,,,,,
-24.1,1737.64,,,,,,
-24.08,1782.2,,,,,,
-24.06,1759.48,,,,,,
-24.04,1723.88,,,,,,
-24.02,1718.44,,,,,,
-24,1735.12,,,,,,
-23.98,1801.72,,,,,,
-23.96,1731.88,,,,,,
-23.94,1786.84,,,,,,
-23.92,1881.56,,,,,,
-23.9,1879.24,,,,,,
-23.88,1733.08,,,,,,
-23.86,1707.52,,,,,,
-23.84,1798.32,,,,,,
-23.82,1753.56,,,,,,
-23.8,1753.32,,,,,,
-23.78,1622.68,,,,,,
-23.76,1736.84,,,,,,
-23.74,1818.96,,,,,,
-23.72,1789.08,,,,,,
-23.7,1770.44,,,,,,
-23.68,1768.12,,,,,,
-23.66,1801.64,,,,,,
-23.64,1766.16,,,,,,
-23.62,1839.56,,,,,,
-23.6,1868.28,,,,,,
-23.58,1754.76,,,,,,
-23.56,1823,,,,,,
-23.54,1743.08,,,,,,
-23.52,1780.52,,,,,,
-23.5,1755.4,,,,,,
-23.48,1732.04,,,,,,
-23.46,1649.92,,,,,,
-23.44,1759.56,,,,,,
-23.42,1690.28,,,,,,
-23.4,1653.24,,,,,,
-23.38,1604.6,,,,,,
-23.36,1608.52,,,,,,
-23.34,1666.72,,,,,,
-23.32,1713.08,,,,,,
-23.3,1621.04,,,,,,
-23.28,1699.4,,,,,,
-23.26,1725.4,,,,,,
-23.24,1628.6,,,,,,
-23.22,1753.64,,,,,,
-23.2,1683.44,,,,,,
-23.18,1646.28,,,,,,
-23.16,1656.52,,,,,,
-23.14,1646.72,,,,,,
-23.12,1652.28,,,,,,
-23.1,1750.36,,,,,,
-23.08,1639.48,,,,,,
-23.06,1670.24,,,,,,
-23.04,1655.84,,,,,,
-23.02,1641.12,,,,,,
-23,1609.32,,,,,,
-22.98,1697.84,,,,,,
-22.96,1798.32,,,,,,
-22.94,1766.56,,,,,,
-22.92,1731.68,,,,,,
-22.9,1658.96,,,,,,
-22.88,1704.16,,,,,,
-22.86,1676.04,,,,,,
-22.84,1706.12,,,,,,
-22.82,1676.16,,,,,,
-22.8,1715.2,,,,,,
-22.78,1728.92,,,,,,
-22.76,1728.72,,,,,,
-22.74,1747.64,,,,,,
-22.72,1791.68,,,,,,
-22.7,1745.44,,,,,,
-22.68,1824.68,,,,,,
-22.66,1698.08,,,,,,
-22.64,1737.8,,,,,,
-22.62,1708,,,,,,
-22.6,1704.44,,,,,,
-22.58,1790.76,,,,,,
-22.56,1770.12,,,,,,
-22.54,1755.4,,,,,,
-22.52,1753.16,,,,,,
-22.5,1673.16,,,,,,
-22.48,1833.56,,,,,,
-22.46,1840.56,,,,,,
-22.44,1818.48,,,,,,
-22.42,1795.84,,,,,,
-22.4,1876.56,,,,,,
-22.38,1797.96,,,,,,
-22.36,1706.84,,,,,,
